[2026-02-04 13:27:04 Local] Logging started.
[2026-02-04 13:27:04 Local] DNS Server auth config file was loaded: /etc/dns/auth.config
[2026-02-04 13:27:04 Local] Loading DNS Cache from disk...
[2026-02-04 13:27:04 Local] Web Service config file was loaded: /etc/dns/webservice.config
[2026-02-04 13:27:04 Local] DNS Cache was loaded from disk successfully.
[2026-02-04 13:27:04 Local] DNS Server config file was loaded: /etc/dns/dns.config
[2026-02-04 13:27:04 Local] DNS Server successfully loaded zone file: /etc/dns/zones/lab.local.zone
[2026-02-04 13:27:04 Local] DNS Server allowed zone file was loaded: /etc/dns/allowed.config
[2026-02-04 13:27:04 Local] DNS Server blocked zone file was loaded: /etc/dns/blocked.config
[2026-02-04 13:27:04 Local] DNS Server block list config file was loaded: /etc/dns/blocklist.config
[2026-02-04 13:27:05 Local] [[::]:5380] [HTTP] Web Service was bound successfully.
[2026-02-04 13:27:05 Local] [0.0.0.0:53] [UDP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [0.0.0.0:53] [TCP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [[::]:53] [UDP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [[::]:53] [TCP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] DHCP Server successfully loaded scope: Default
[2026-02-04 13:27:05 Local] DNS Server (v14.3.0.0) was started successfully.
[2026-02-04 13:27:51 Local] [172.19.0.1:33422] [UDP] QNAME: access-point.cloudmessaging.edge.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:27:51 Local] [172.19.0.1:48966] [UDP] QNAME: access-point.cloudmessaging.edge.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:08 Local] [172.19.0.1:54044] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:08 Local] [172.19.0.1:50101] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:09 Local] [172.19.0.1:43490] [UDP] QNAME: edge.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:09 Local] [172.19.0.1:46426] [UDP] QNAME: edge.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:10 Local] [172.19.0.1:51426] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:10 Local] [172.19.0.1:55839] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:11 Local] [172.19.0.1:42715] [UDP] QNAME: edge.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:11 Local] [172.19.0.1:49137] [UDP] QNAME: edge.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
